DIST,Annual,Kharif,Rabi,Summer,Autumn
Birbhum (Situri),1375.424324324324,825.6693693693693,125.34054054054053,395.47027027027025,120.65405405405404
Bishnupur,1526.4594594594591,680.3567567567567,167.590990990991,630.8711711711712,155.87567567567564
Bokaro,1293.9639639639643,877.6342342342342,101.46396396396398,278.61621621621623,97.23423423423425
Bongaigaon,2638.9405405405396,1208.8945945945948,165.3036036036036,1231.3477477477481,158.30270270270265
Budaun,875.4243243243244,672.0297297297298,46.68918918918918,119.87387387387389,40.099999999999994
Bulandshahr,718.727027027027,564.4873873873873,34.01261261261261,88.3864864864865,27.97207207207207
Buldana,812.7882882882883,551.1891891891892,77.91801801801802,170.06576576576575,69.24234234234235
Bundi,730.3063063063064,610.5603603603602,25.339639639639643,83.87927927927926,21.513513513513512
Buxar,1016.3387387387387,769.6522522522522,59.306306306306304,159.4414414414414,55.07297297297298
Cachar,2646.4567567567574,1206.3540540540541,213.6891891891892,1168.4864864864867,203.1
Calcutta,1563.7333333333333,886.528828828829,154.07027027027027,485.46396396396403,148.08828828828825
Central,663.3189189189187,509.89639639639637,29.123423423423425,88.56486486486489,22.37207207207207
Chamarajanagar,845.3153153153155,277.13513513513516,300.1117117117117,252.21891891891892,268.47837837837835
Chamba,1783.9198198198198,1112.746846846847,105.47927927927928,364.76396396396404,55.972072072072066
Chamoli,1224.0981981981984,682.2882882882882,79.25585585585587,314.13603603603605,49.385585585585595
Champawat,1505.2009009009005,994.3729729729729,76.03513513513514,335.55135135135134,57.52972972972973
Champhai,2018.9540540540538,958.3756756756754,177.20090090090085,838.8351351351351,167.56306306306303
Chandauli,1011.2693693693694,782.8684684684684,54.649549549549555,140.31711711711714,50.328828828828826
Chandel,1477.3081081081082,658.0621621621623,165.93603603603606,606.50990990991,154.47027027027028
Chandigarh,1364.7243243243242,954.0684684684685,67.97657657657658,229.89549549549545,41.01711711711712
Chandrapur,1359.6909909909914,1017.5711711711713,78.14504504504501,238.77657657657662,71.67297297297297
Changlang,2440.913513513514,1083.1918918918916,169.38378378378383,1073.5279279279282,150.32612612612616
Chatra,1228.5639639639642,863.3711711711711,86.15405405405406,235.42702702702704,80.79729729729729
Chennai (Madras),1222.6315315315317,316.9117117117117,750.399099099099,114.44954954954954,616.1576576576574
Chhatrapur,1080.6252252252252,879.2576576576579,50.15135135135135,120.00360360360362,43.52432432432433
Chhindwara,1179.1234234234234,857.3801801801801,79.12072072072071,207.65495495495497,68.54774774774776
Chikmagalur,1434.0306306306306,810.1819819819818,230.02792792792795,387.01351351351343,217.02882882882884
Chilas,736.3405405405406,138.3720720720721,103.03783783783783,336.58918918918926,57.635135135135144
Chitradurga,540.1504504504505,227.54684684684688,159.57747747747754,146.6162162162162,151.68378378378375
Chitrakut,936.2918918918919,754.2432432432431,44.70630630630632,104.96486486486485,39.07387387387388
Chittaurgarh,783.0513513513513,644.8000000000001,30.969369369369378,99.5189189189189,28.22162162162163
