,District_Name,Year,Kharif,Rabi,Autumn,Summer,Whole Year,Winter
5016,mandsaur,1997,26.332,21.0505,23.41775,28.0295,27.62576825104826,20.595
5017,mandsaur,1998,27.88566666666667,22.5165,24.90225,29.20800000000001,28.856397354254028,21.13675
5018,mandsaur,1999,26.884666666666664,21.75,24.0315,28.2615,28.59619977952117,21.23
5019,mandsaur,2000,27.725666666666665,23.03875,25.124,28.515,28.72876664829343,21.181
5020,mandsaur,2001,27.792666666666666,22.33375,25.00525,27.8615,28.334063887357782,21.536
5021,mandsaur,2002,27.281666666666663,22.762,25.228250000000003,28.951,29.05442199061314,21.6195
5022,mandya,1985,23.444333333333333,22.9955,23.223,23.12025,24.106250000000003,24.32875
5023,mandya,1986,23.622,23.1235,23.5205,23.3665,26.210104166666667,23.82875
5024,mandya,1987,24.122333333333334,23.25175,23.856500000000004,23.97175,26.454425347222223,23.4795
5025,mandya,1988,23.50166666666667,22.991,23.26275,23.3895,26.40395211226852,24.1135
5026,mandya,1989,23.496666666666663,23.017,23.3185,23.09125,26.12391267602237,23.55975
5027,mandya,1990,23.541,22.97975,23.3825,23.25,26.1830760563352,23.83475
5028,mandya,1991,23.38433333333333,22.92175,23.0905,23.10425,26.255089671361272,24.137
5029,mandya,1992,23.397666666666662,22.476,23.03,23.28075,26.02734080594677,23.270250000000004
5030,mandya,1993,23.412333333333336,22.745,23.0045,23.32075,26.1571117338289,23.48975
5031,mandya,1994,23.600666666666665,22.5795,22.89275,23.2965,26.12075931115241,23.6535
5032,mandya,1995,23.787666666666667,23.20025,23.569,23.7795,26.395646609262705,23.76325
5033,mandya,1996,23.427,22.9805,23.17525,23.483,26.39663721743856,23.85475
5034,mandya,1997,24.014333333333337,23.6655,24.10375,24.01725,26.65505310145321,24.0655
5035,mandya,1998,23.70566666666667,23.3965,23.46775,23.815,26.883337758454434,24.578
5036,mandya,1999,23.915000000000003,23.1105,23.51,23.50425,26.3296114798712,23.98525
5037,mandya,2000,23.532,23.148,23.35775,23.19075,26.241384289989263,23.91175
5038,mandya,2001,23.669,23.226,23.5225,23.64,26.59211535749911,24.427
5039,mandya,2002,24.289,23.569000000000003,23.97425,23.962,26.78300961312493,24.2225
5040,mansa,1985,28.689666666666668,18.94325,23.015,31.659,25.570083333333333,17.9335
5041,mansa,1986,29.01233333333333,18.851750000000003,22.947,31.48475,26.885256944444446,16.36475
